,lg_id,wins,losses,rank_team,srs,pace,pace_rel,off_rtg,off_rtg_rel,def_rtg,def_rtg_rel,team_id,foo,avg_age,avg_ht,avg_wt,g,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,year,team,games,win_pct,win_logratio,net_rtg,rtg_logratio
1,NBA,38.0,44.0,3.0,0.27,104.7,0.2,98.1,0.4,97.7,0.0,POR,,26.0,6-6,201.0,82.0,19880.0,3414.0,7113.0,0.48,,,,3414.0,7113.0,0.48,1680.0,2265.0,0.742,1049.0,2758.0,3807.0,2209.0,755.0,399.0,1833.0,2055.0,8508.0,1974-75,POR,82.0,0.4634146341463415,-0.1466034741918754,0.3999999999999915,0.004085807522580354
1,NBA,31.0,51.0,4.0,-1.32,106.3,1.8,98.3,0.6,99.5,1.8,ATL,,25.1,6-5,204.0,82.0,19805.0,3424.0,7824.0,0.438,,,,3424.0,7824.0,0.438,1772.0,2435.0,0.728,1441.0,2653.0,4094.0,1878.0,744.0,227.0,1550.0,1964.0,8620.0,1974-75,ATL,82.0,0.3780487804878049,-0.4978384282391796,-1.2000000000000028,-0.012133617011426203
1,ABA,51.0,33.0,2.0,3.89,102.9,-0.2,109.5,4.8,105.4,0.7,SAA,,25.6,6-5,202.0,84.0,20285.0,3779.0,7909.0,0.478,41.0,157.0,0.261,3738.0,7752.0,0.482,1926.0,2373.0,0.812,1459.0,2801.0,4260.0,1870.0,695.0,373.0,1421.0,2043.0,9525.0,1974-75,SAS,84.0,0.6071428571428571,0.4353180712578455,4.099999999999994,0.038161913149293486
1,NBA,43.0,39.0,2.0,-1.19,105.5,1.0,96.7,-1.0,97.7,0.0,SEA,,25.6,6-6,205.0,82.0,19880.0,3488.0,7653.0,0.456,,,,3488.0,7653.0,0.456,1475.0,1970.0,0.749,1142.0,2579.0,3721.0,1997.0,837.0,378.0,1610.0,1977.0,8451.0,1974-75,OKC,82.0,0.524390243902439,0.09763846956391607,-1.0,-0.010288156589488444
1,NBA,40.0,42.0,3.0,-0.31,100.4,-4.1,97.6,-0.1,98.0,0.3,CLE,,25.9,6-6,205.0,82.0,19880.0,3408.0,7371.0,0.462,,,,3408.0,7371.0,0.462,1301.0,1753.0,0.742,1058.0,2502.0,3560.0,1903.0,600.0,348.0,1462.0,1881.0,8117.0,1974-75,CLE,82.0,0.4878048780487805,-0.048790164169432056,-0.4000000000000057,-0.004089985251525166
2,NBA,48.0,34.0,2.0,2.2,104.3,-1.2,97.5,-0.8,95.3,-3.0,WSB,,28.2,6-5,208.0,82.0,19905.0,3416.0,7234.0,0.472,,,,3416.0,7234.0,0.472,1595.0,2215.0,0.72,1019.0,2812.0,3831.0,1823.0,696.0,485.0,1672.0,1921.0,8427.0,1975-76,WAS,82.0,0.5853658536585366,0.3448404862917296,2.200000000000003,0.022822567343645194
2,NBA,46.0,36.0,2.0,0.33,107.5,2.0,98.2,-0.1,98.0,-0.3,PHI,,26.3,6-6,202.0,82.0,19855.0,3462.0,7752.0,0.447,,,,3462.0,7752.0,0.447,1811.0,2469.0,0.733,1385.0,2684.0,4069.0,1658.0,809.0,367.0,1729.0,2187.0,8735.0,1975-76,PHI,82.0,0.5609756097560976,0.2451224580329849,0.20000000000000284,0.002038736689848309
2,NBA,24.0,58.0,4.0,-2.89,100.3,-5.2,95.2,-3.1,98.0,-0.3,CHI,,27.4,6-6,203.0,82.0,19780.0,3106.0,7499.0,0.414,,,,3106.0,7499.0,0.414,1651.0,2197.0,0.751,1375.0,2726.0,4101.0,1704.0,627.0,255.0,1413.0,1977.0,7863.0,1975-76,CHI,82.0,0.2926829268292683,-0.8823891801984737,-2.799999999999997,-0.028987536873252298
2,NBA,38.0,44.0,4.0,-1.05,104.1,-1.4,98.0,-0.3,99.2,0.9,NYK,,28.7,6-6,205.0,82.0,19805.0,3443.0,7555.0,0.456,,,,3443.0,7555.0,0.456,1532.0,1985.0,0.772,1022.0,2723.0,3745.0,1660.0,575.0,259.0,1403.0,2006.0,8418.0,1975-76,NYK,82.0,0.4634146341463415,-0.1466034741918754,-1.2000000000000028,-0.012170535620255179
2,NBA,40.0,42.0,3.0,-0.71,104.7,-0.8,101.1,2.8,101.8,3.5,HOU,,25.7,6-5,201.0,82.0,19755.0,3546.0,7304.0,0.485,,,,3546.0,7304.0,0.485,1616.0,2046.0,0.79,1059.0,2644.0,3703.0,2213.0,656.0,359.0,1665.0,2045.0,8708.0,1975-76,HOU,82.0,0.4878048780487805,-0.048790164169432056,-0.7000000000000028,-0.006899978089996664
2,NBA,46.0,36.0,3.0,0.85,108.2,2.7,99.0,0.7,98.2,-0.1,BUF,,26.2,6-5,202.0,82.0,19705.0,3481.0,7307.0,0.476,,,,3481.0,7307.0,0.476,1833.0,2368.0,0.774,1002.0,2719.0,3721.0,2112.0,720.0,366.0,1743.0,2017.0,8795.0,1975-76,LAC,82.0,0.5609756097560976,0.2451224580329849,0.7999999999999972,0.008113634774169631
2,NBA,49.0,33.0,1.0,2.34,101.6,-3.9,99.5,1.2,97.0,-1.3,CLE,,26.8,6-6,204.0,82.0,19805.0,3497.0,7709.0,0.454,,,,3497.0,7709.0,0.454,1346.0,1827.0,0.737,1192.0,2588.0,3780.0,1844.0,638.0,397.0,1330.0,1871.0,8340.0,1975-76,CLE,82.0,0.5975609756097561,0.3953127366441464,2.5,0.025446665661164176
2,NBA,42.0,40.0,3.0,0.59,105.6,0.1,98.5,0.2,97.9,-0.4,PHO,,26.2,6-5,207.0,82.0,19880.0,3420.0,7251.0,0.472,,,,3420.0,7251.0,0.472,1780.0,2337.0,0.762,1108.0,2558.0,3666.0,2083.0,853.0,349.0,1852.0,2018.0,8620.0,1975-76,PHO,82.0,0.5121951219512195,0.04879016416943205,0.5999999999999943,0.006109998641578474
1,NBA,38.0,44.0,4.0,-0.74,106.7,1.2,96.6,-1.7,97.4,-0.9,NOJ,,25.5,6-6,202.0,82.0,19880.0,3352.0,7491.0,0.447,,,,3352.0,7491.0,0.447,1831.0,2415.0,0.758,1189.0,2779.0,3968.0,1765.0,750.0,343.0,1659.0,2175.0,8535.0,1975-76,UTA,82.0,0.4634146341463415,-0.1466034741918754,-0.8000000000000114,-0.008247469430017227
2,ABA,55.0,29.0,2.0,2.56,105.9,-1.0,104.4,0.3,101.7,-2.4,NYA,,25.4,6-5,203.0,84.0,20385.0,3752.0,8148.0,0.46,111.0,372.0,0.298,3641.0,7776.0,0.468,1775.0,2333.0,0.761,1493.0,2750.0,4243.0,1817.0,913.0,522.0,1529.0,2209.0,9390.0,1975-76,NJN,84.0,0.6547619047619048,0.6400373552459969,2.700000000000003,0.026202372394024117
2,ABA,60.0,24.0,1.0,5.45,111.2,4.3,108.7,4.6,103.4,-0.7,DNA,,25.4,6-5,203.0,84.0,20310.0,4059.0,8036.0,0.505,41.0,178.0,0.23,4018.0,7858.0,0.511,2078.0,2667.0,0.779,1311.0,2776.0,4087.0,2442.0,891.0,539.0,1755.0,1988.0,10237.0,1975-76,DEN,84.0,0.7142857142857143,0.9162907318741551,5.299999999999997,0.04998683205283498
2,ABA,39.0,45.0,5.0,0.29,107.7,0.8,103.7,-0.4,103.9,-0.2,INA,,24.7,6-5,203.0,84.0,20335.0,3735.0,8525.0,0.438,250.0,771.0,0.324,3485.0,7754.0,0.449,1740.0,2253.0,0.772,1612.0,2740.0,4352.0,2087.0,941.0,459.0,1452.0,1981.0,9460.0,1975-76,IND,84.0,0.4642857142857143,-0.1431008436406733,-0.20000000000000284,-0.0019267828697000567
2,NBA,36.0,46.0,2.0,-1.18,105.2,-0.3,99.2,0.9,100.2,1.9,DET,,25.8,6-5,207.0,82.0,19780.0,3524.0,7598.0,0.464,,,,3524.0,7598.0,0.464,1557.0,2049.0,0.76,1205.0,2545.0,3750.0,1751.0,786.0,332.0,1619.0,2086.0,8605.0,1975-76,DET,82.0,0.43902439024390244,-0.24512245803298496,-1.0,-0.010030174359937357
2,NBA,59.0,23.0,1.0,6.23,108.3,2.8,100.6,2.3,94.5,-3.8,GSW,,25.5,6-5,197.0,82.0,19830.0,3691.0,7982.0,0.462,,,,3691.0,7982.0,0.462,1620.0,2158.0,0.751,1349.0,2912.0,4261.0,2041.0,928.0,416.0,1613.0,2022.0,9002.0,1975-76,GSW,82.0,0.7195121951219512,0.9420432279765697,6.099999999999994,0.06255242316594169
2,NBA,38.0,44.0,1.0,-1.55,103.9,-1.6,97.3,-1.0,98.7,0.4,MIL,,24.9,6-6,209.0,82.0,19830.0,3456.0,7435.0,0.465,,,,3456.0,7435.0,0.465,1437.0,1952.0,0.736,1094.0,2688.0,3782.0,1817.0,715.0,468.0,1624.0,2041.0,8349.0,1975-76,MIL,82.0,0.4634146341463415,-0.1466034741918754,-1.4000000000000057,-0.014285957247476541
2,NBA,37.0,45.0,5.0,-1.11,107.7,2.2,96.4,-1.9,97.6,-0.7,POR,,25.4,6-6,204.0,82.0,19730.0,3417.0,7292.0,0.469,,,,3417.0,7292.0,0.469,1699.0,2350.0,0.723,1116.0,2843.0,3959.0,2094.0,776.0,408.0,1867.0,2091.0,8533.0,1975-76,POR,82.0,0.45121951219512196,-0.19574457712609536,-1.1999999999999886,-0.012371291802546718
2,ABA,50.0,34.0,3.0,3.82,106.8,-0.1,107.5,3.4,103.6,-0.5,SAA,,24.5,6-6,202.0,84.0,20310.0,3888.0,7945.0,0.489,26.0,130.0,0.2,3862.0,7815.0,0.494,1905.0,2342.0,0.813,1305.0,2927.0,4232.0,2146.0,759.0,583.0,1576.0,2032.0,9707.0,1975-76,SAS,84.0,0.5952380952380952,0.38566248081198473,3.9000000000000057,0.03695351774233478
2,NBA,31.0,51.0,3.0,-2.83,105.7,0.2,97.4,-0.9,100.1,1.8,KCK,,26.2,6-5,201.0,82.0,19755.0,3341.0,7379.0,0.453,,,,3341.0,7379.0,0.453,1792.0,2335.0,0.767,1133.0,2668.0,3801.0,1864.0,751.0,324.0,1607.0,2056.0,8474.0,1975-76,SAC,82.0,0.3780487804878049,-0.4978384282391796,-2.6999999999999886,-0.027343475672685344
2,NBA,43.0,39.0,2.0,-0.15,107.7,2.2,98.3,0.0,98.6,0.3,SEA,,24.5,6-6,203.0,82.0,19780.0,3542.0,7730.0,0.458,,,,3542.0,7730.0,0.458,1642.0,2309.0,0.711,1217.0,2498.0,3715.0,1935.0,866.0,355.0,1615.0,2133.0,8726.0,1975-76,OKC,82.0,0.524390243902439,0.09763846956391607,-0.29999999999999716,-0.0030472344554688577
