Rk,Wk,Date,Time,Day,Winner,Pts,,Loser,Pts,TV,Notes
119,3,Sep 10 2016,4:00 PM,Sat,Indiana,30,,Ball State,20,ESPNN,Memorial Stadium - Bloomington Indiana
120,3,Sep 10 2016,7:30 PM,Sat,(16) Iowa,42,,Iowa State,3,BTN,Kinnick Stadium - Iowa City Iowa
121,3,Sep 10 2016,7:30 PM,Sat,(21) Louisiana State,34,,Jacksonville State,13,ESPNU,Tiger Stadium - Baton Rouge Louisiana
122,3,Sep 10 2016,7:00 PM,Sat,Louisiana Tech,53,,South Carolina State,24,,Joe Aillet Stadium - Ruston Louisiana
123,3,Sep 10 2016,7:00 PM,Sat,Louisiana-Lafayette,30,,McNeese State,22,ESPN3,Cajun Field - Lafayette Louisiana
124,3,Sep 10 2016,6:00 PM,Sat,Marshall,62,,Morgan State,0,,Joan C. Edwards Stadium - Huntington West Virginia
125,3,Sep 10 2016,6:00 PM,Sat,(25) Miami (FL),38,,Florida Atlantic,10,,Hard Rock Stadium - Miami Gardens Florida
126,3,Sep 10 2016,12:00 PM,Sat,(5) Michigan,51,,Central Florida,14,ABC,Michigan Stadium - Ann Arbor Michigan
127,3,Sep 10 2016,12:00 PM,Sat,Minnesota,58,,Indiana State,28,ESPNN,TCF Bank Stadium - Minneapolis Minnesota
128,3,Sep 10 2016,4:00 PM,Sat,(19) Mississippi,38,,Wofford,13,SECN,Vaught-Hemingway Stadium - Oxford Mississippi
129,3,Sep 10 2016,7:00 PM,Sat,Mississippi State,27,,South Carolina,14,ESPN,Davis Wade Stadium - Starkville Mississippi
130,3,Sep 10 2016,7:30 PM,Sat,Missouri,61,,Eastern Michigan,21,SECN,Faurot Field - Columbia Missouri
131,3,Sep 10 2016,3:30 PM,Sat,Navy,28,,Connecticut,24,CBSSN,Navy Marine Corps Memorial Stadium - Annapolis Maryland
132,3,Sep 10 2016,12:00 PM,Sat,Nebraska,52,,Wyoming,17,ESPN2,Memorial Stadium - Lincoln Nebraska
133,3,Sep 10 2016,8:00 PM,Sat,New Mexico State,32,,New Mexico,31,ESPN3,Aggie Memorial Stadium - Las Cruces New Mexico
134,3,Sep 10 2016,7:30 PM,Sat,North Carolina,48,@,Illinois,23,BTN,Memorial Stadium - Champaign Illinois
135,3,Sep 10 2016,6:00 PM,Sat,North Carolina A&T,39,@,Kent State,36,ESPN3,Dix Stadium - Kent Ohio
136,3,Sep 10 2016,7:00 PM,Sat,North Texas,41,,Bethune-Cookman,20,,Apogee Stadium - Denton Texas
137,3,Sep 10 2016,3:30 PM,Sat,(18) Notre Dame,39,,Nevada,10,NBC,Notre Dame Stadium - South Bend Indiana
138,3,Sep 10 2016,2:30 PM,Sat,Ohio,37,@,Kansas,21,FSN,Memorial Stadium - Lawrence Kansas
139,3,Sep 10 2016,3:30 PM,Sat,(4) Ohio State,48,,Tulsa,3,ABC,Ohio Stadium - Columbus Ohio
140,3,Sep 10 2016,7:00 PM,Sat,(14) Oklahoma,59,,Louisiana-Monroe,17,,Gaylord Family - Oklahoma Memorial Stadium - Norman Oklahoma
141,3,Sep 10 2016,10:30 PM,Sat,(24) Oregon,44,,Virginia,26,ESPN,Autzen Stadium - Eugene Oregon
142,3,Sep 10 2016,12:00 PM,Sat,Pittsburgh,42,,Penn State,39,ABC,Heinz Field - Pittsburgh Pennsylvania
143,3,Sep 10 2016,12:00 PM,Sat,Rutgers,52,,Howard,14,BTN,High Points Solutions Stadium - Piscataway New Jersey
144,3,Sep 10 2016,10:30 PM,Sat,San Diego State,45,,California,40,CBSSN,Qualcomm Stadium - San Diego California
145,3,Sep 10 2016,4:30 PM,Sat,San Jose State,66,,Portland State,35,,CEFCU Stadium - San Jose California
