Player_id,SV_Player_id,Name
200751,4135,Randy Foye
2450,n/a,Randy Holcomb
988,n/a,Randy Livingston
101119,n/a,Rashad McCants
1740,3275,Rashard Lewis
739,3006,Rasheed Wallace
1725,n/a,Rasho Nesterovic
2446,3650,Rasual Butler
2237,n/a,Ratko Varda
2221,n/a,Raul Lopez
101185,n/a,Rawle Marshall
951,3080,Ray Allen
101109,3931,Raymond Felton
2558,n/a,Reece Gaines
2501,3663,Reggie Evans
397,n/a,Reggie Miller
1073,n/a,Reggie Slater
202130,4710,Reggie Williams
200764,4148,Renaldo Balkman
200970,n/a,Renaldo Major
1888,3330,Richard Hamilton
2210,3523,Richard Jefferson
2499,n/a,Richie Frahm
1594,n/a,Rick Brunson
296,n/a,Rick Fox
1729,n/a,Ricky Davis
201633,n/a,Rob Kurz
2425,n/a,Robert Archibald
200823,n/a,Robert Hite
109,n/a,Robert Horry
123,n/a,Robert Pack
2741,n/a,Robert Swift
1714,n/a,Robert Traylor
101156,n/a,Robert Whaley
201577,4477,Robin Lopez
393,n/a,Rod Strickland
1934,n/a,Rodney Buford
200760,4144,Rodney Carney
915,n/a,Rodney Rogers
201155,4293,Rodney Stuckey
2206,n/a,Rodney White
201958,4630,Rodrigue Beaubois
2427,3628,Roger Mason Jr.
101232,n/a,Roger Powell
101146,n/a,Roko Ukic
166,n/a,Ron Harper
1500,n/a,Ron Mercer
2648,3788,Ronald Dupree
200758,4142,Ronnie Brewer
101179,3990,Ronnie Price
101142,3963,Ronny Turiaf
1728,n/a,Roshown McLeod
201579,4479,Roy Hibbert
2767,3854,Royal Ivey
2257,n/a,Ruben Boumtje-Boumtje
2092,n/a,Ruben Garces
1739,n/a,Ruben Patterson
2106,n/a,Ruben Wolkowyski
201164,4302,Rudy Fernandez
200752,4136,Rudy Gay
201566,4390,Russell Westbrook
1601,n/a,Rusty LaRue
201583,4483,Ryan Anderson
1763,n/a,Ryan Bowen
101155,3976,Ryan Gomes
200797,4179,Ryan Hollins
2415,n/a,Ryan Humphrey
101136,n/a,Salim Stoudamire
208,n/a,Sam Cassell
1734,n/a,Sam Jacobson
694,n/a,Sam Mack
417,n/a,Sam Mitchell
64,n/a,Sam Perkins
201970,4641,Sam Young
955,n/a,Samaki Walker
2223,3534,Samuel Dalembert
101180,n/a,Sarunas Jasikevicius
2562,3722,Sasha Pavlovic
2756,3844,Sasha Vujacic
1513,n/a,Scot Pollard
197,n/a,Scott Burrell
1909,n/a,Scott Padgett
281,n/a,Scott Williams
937,n/a,Scottie Pippen
2173,n/a,Sean Colson
251,n/a,Sean Elliott
2253,n/a,Sean Lampley
1752,3287,Sean Marks
101118,n/a,Sean May
399,n/a,Sean Rooks
201606,n/a,Sean Singletary
201157,4295,Sean Williams
2742,3830,Sebastian Telfair
201586,4486,Serge Ibaka
2752,n/a,Sergei Monia
200771,4155,Sergio Rodriguez
